,ligand,receptor,novel,species
16371,CALM1,CRHR1,-,Human
16372,CALM1,HMMR,-,Human
16373,CALM1,ADCYAP1R1,-,Human
16374,CALM1,OPRM1,-,Human
16375,CALM1,RYR2,-,Human
16376,CALM1,GLP1R,-,Human
16377,CALM1,SCN10A,-,Human
16378,CALM1,AQP6,-,Human
16379,CALM1,PTPRA,-,Human
16380,CALM1,SCN4A,-,Human
16381,COL9A1,ITGB1,-,Human
16386,GIP,GPR20,-,Human
16387,GIP,GPR84,-,Human
16388,APOA4,LDLR,-,Human
16390,GAD1,GRM4,-,Human
16392,ALKAL1,ALK,-,Human
16396,COL4A2,ITGB3,-,Human
16397,LAMC3,ITGA6,-,Human
16398,LAMC3,ITGB1,-,Human
16400,COL6A1,ITGB1,-,Human
16401,COL6A1,ITGA6,-,Human
16402,TGM2,ITGA4,-,Human
16406,TGM2,TBXA2R,-,Human
16411,THBS2,ITGB1,-,Human
16412,THBS2,ITGB3,-,Human
16413,THBS2,NOTCH4,-,Human
16416,LEFTY2,ACVR1B,-,Human
16420,VIP,GPR84,-,Human
16421,VIP,GPR20,-,Human
16424,PTGS2,ALOX5,-,Human
16429,APOA2,LDLR,-,Human
16430,EFNA1,EPHB6,-,Human
16432,EFNA1,EPHB1,-,Human
16433,EFNA3,EPHB6,-,Human
16436,S100A8,ITGB2,-,Human
16437,S100A8,CD36,-,Human
16438,S100A12,TLR4,-,Human
16439,S100A12,CD36,-,Human
16440,S100A9,ITGB2,-,Human
16441,S100A9,CD36,-,Human
16442,NGF,SORCS2,-,Human
16443,NGF,TRPV1,-,Human
16444,NGF,MAGED1,-,Human
16445,NGF,BEX3,-,Human
16448,L1CAM,FGFR2,-,Human
16449,L1CAM,EPHB2,-,Human
16451,COL11A1,ITGB1,-,Human
16453,CD40LG,ITGAM,-,Human
16454,CD40LG,ITGB2,-,Human
16455,CD40LG,TRAF3,-,Human
16457,GNAS,GLP1R,-,Human
16458,GNAS,ADCY7,-,Human
16459,ANGPTL3,ITGB3,-,Human
16461,COL5A1,ITGB1,-,Human
16464,SFTPD,TLR4,-,Human
16465,MMP9,ITGAM,-,Human
16466,MMP9,RECK,-,Human
16468,MMP9,ITGB2,-,Human
16471,SPTAN1,PTPRA,-,Human
16472,COL9A2,ITGB1,-,Human
16474,PLAU,ITGAM,-,Human
16475,PLAU,VLDLR,-,Human
16476,PLAU,ITGB1,-,Human
16477,PLAU,ITGB2,-,Human
16479,GHRH,ADCYAP1R1,-,Human
16480,GHRH,GPR20,-,Human
16481,GHRH,TSHR,-,Human
16482,GHRH,GPR84,-,Human
16483,COL16A1,ITGB1,-,Human
16489,COL5A2,ITGB1,-,Human
16491,F10,ITGAM,-,Human
16492,F10,ITGB2,-,Human
16493,SYK,LAT,-,Human
16494,COL4A1,ITGB1,-,Human
16495,FGF14,FGFR2,-,Human
16496,FGF14,FGFR1,-,Human
16498,HLA-C,CD3G,-,Human
16499,HLA-C,KIR3DL1,-,Human
16502,HLA-E,KIR3DL1,-,Human
16505,ACTR2,LDLR,-,Human
16507,AGRN,ITGB1,-,Human
16509,INSL3,ADCYAP1R1,-,Human
16510,INSL3,TSHR,-,Human
16511,INSL3,GPR84,-,Human
16513,AVP,ADCYAP1R1,-,Human
16514,AVP,LDLR,-,Human
16515,AVP,GPR84,-,Human
16516,AVP,TSHR,-,Human
16519,COL2A1,ITGB1,-,Human
16522,RLN2,ADCYAP1R1,-,Human
16523,RLN2,TSHR,-,Human
16524,RLN2,GPR84,-,Human
16526,ZG16B,CXCR4,-,Human
16531,LAMA1,ITGA6,-,Human
16532,LAMA1,ITGA7,-,Human
16533,LAMA1,ITGB1,-,Human
16535,LAMB3,CD151,-,Human
16536,LAMB3,ITGB1,-,Human
16537,LAMB3,ITGA6,-,Human
16540,COL4A6,ITGB1,-,Human
16541,SPP1,ITGA4,-,Human
16542,SPP1,ITGB1,-,Human
16543,SPP1,ITGB3,-,Human
16546,ADM2,ADCYAP1R1,-,Human
16547,ADM2,TSHR,-,Human
16548,ADM2,GPR84,-,Human
16551,COL4A4,ITGB3,-,Human
16552,HLA-A,CD3G,-,Human
16556,NPS,ADCYAP1R1,-,Human
16557,NPS,GPR84,-,Human
16558,NPS,TSHR,-,Human
16559,DSCAM,DCC,-,Human
16562,POMC,GPR84,-,Human
16566,MDK,ITGA6,-,Human
16567,TF,LDLR,-,Human
16569,TF,HFE,-,Human
16572,GCG,GPR84,-,Human
16579,RLN3,ADCYAP1R1,-,Human
16580,RLN3,TSHR,-,Human
16581,RLN3,GPR84,-,Human
16585,HLA-B,CD3G,-,Human
16587,LAMA2,ITGA7,-,Human
16588,HRAS,AGTR1,-,Human
16589,ICAM2,ITGAM,-,Human
16592,FSHB,GPR84,-,Human
16595,HSPA8,LDLR,-,Human
16596,CALCB,ADCYAP1R1,-,Human
16597,CALCB,TSHR,-,Human
16598,CALCB,GPR84,-,Human
16599,ADM,ADCYAP1R1,-,Human
16600,ADM,TSHR,-,Human
16601,ADM,GPR84,-,Human
16602,PTHLH,ADCYAP1R1,-,Human
16603,PTHLH,GPR84,-,Human
16605,S100A10,CFTR,-,Human
16606,SHANK2,CFTR,-,Human
16608,PLAU,ITGA3,-,Human
16609,LAMA3,ITGA3,-,Human
16610,LAMA4,ITGA3,-,Human
16611,LAMA2,ITGA3,-,Human
16612,LAMA1,ITGA3,-,Human
16613,LGALS8,ITGA3,-,Human
16614,NID1,ITGA3,-,Human
16615,LAMC3,ITGA3,-,Human
16616,THBS1,ITGA3,-,Human
16618,RELN,ITGA3,-,Human
16619,LAMB2,ITGA3,-,Human
16620,COL4A3,ITGA3,-,Human
16621,LAMA5,ITGA3,-,Human
16622,ADAM9,ITGA3,-,Human
16623,LAMC1,ITGA3,-,Human
16624,LAMB3,ITGA3,-,Human
16625,COL18A1,ITGA3,-,Human
16626,VTN,ITGA3,-,Human
16627,LAMB1,ITGA3,-,Human
16628,LAMC2,ITGA3,-,Human
16629,FN1,ITGA3,-,Human
16630,S100A4,PGLYRP1,-,Human
16632,HLA-G,CD4,-,Human
16634,SLPI,CD4,-,Human
16638,CALM1,SCTR,-,Human
16640,OMG,RTN4R,-,Human
16642,HP,CD22,-,Human
16643,CALM2,KCNQ1,-,Human
16644,CALML3,KCNQ1,-,Human
16645,CALM1,KCNQ1,-,Human
16646,CALM3,KCNQ1,-,Human
16651,RTN4,NGFR,-,Human
16652,OMG,NGFR,-,Human
16654,NTS,NGFR,-,Human
16655,BDNF,DRD4,-,Human
16659,LAMA3,ITGB4,-,Human
16660,LAMA2,ITGB4,-,Human
16661,LAMC3,ITGB4,-,Human
16662,LAMB2,ITGB4,-,Human
16663,LAMA5,ITGB4,-,Human
16664,LAMC1,ITGB4,-,Human
16665,LAMA1,ITGB4,-,Human
16666,LAMB3,ITGB4,-,Human
16667,LAMB1,ITGB4,-,Human
16668,LAMC2,ITGB4,-,Human
16677,RIMS1,SLC17A7,-,Human
16678,APP,APLP1,-,Human
16679,BTLA,CD79A,-,Human
16680,CXCL8,CD79A,-,Human
16681,FN1,CD79A,-,Human
16682,KLK3,EPOR,-,Human
16684,LAMA1,ITGB8,-,Human
16685,VTN,ITGB8,-,Human
16686,COL4A1,ITGB8,-,Human
16687,FN1,ITGB8,-,Human
16688,APP,TSPAN12,-,Human
16689,ADAM10,TSPAN12,-,Human
16693,S100A8,CD69,-,Human
16697,CXCL13,OPRD1,-,Human
16698,CALM2,SELL,-,Human
16702,MUC7,SELL,-,Human
16703,CALM1,SELL,-,Human
16704,PODXL,SELL,-,Human
16705,CALM3,SELL,-,Human
16708,RAET1L,KLRK1,-,Human
16713,CFC1,ACVR2A,-,Human
16716,LEFTY1,ACVR2A,-,Human
16721,ADCYAP1,RAMP3,-,Human
16722,GHRH,RAMP3,-,Human
16723,CGA,RAMP3,-,Human
16724,GCG,RAMP3,-,Human
16725,TSHB,RAMP3,-,Human
16726,PTH2,RAMP3,-,Human
16727,AVP,RAMP3,-,Human
16728,VIP,RAMP3,-,Human
16729,PTH,RAMP3,-,Human
16730,PTHLH,RAMP3,-,Human
16731,NPS,RAMP3,-,Human
16732,FSHB,RAMP3,-,Human
16733,POMC,RAMP3,-,Human
16734,RLN2,RAMP3,-,Human
16735,RLN3,RAMP3,-,Human
16736,GIP,RAMP3,-,Human
16737,CRH,RAMP3,-,Human
16738,INSL3,RAMP3,-,Human
16739,APOA2,LRP1,-,Human
16740,AGRN,LRP1,-,Human
16741,GPC3,LRP1,-,Human
16744,APOC2,LRP1,-,Human
16746,HSPG2,LRP1,-,Human
16749,PCSK9,LRP1,-,Human
16751,HSP90B1,LRP1,-,Human
16756,FCN2,LRP1,-,Human
16758,HSP90AA1,LRP1,-,Human
16759,APOA4,LRP1,-,Human
16762,VWF,LRP1,-,Human
16765,HPX,LRP1,-,Human
16766,APP,LRP1,-,Human
16769,PF4,LRP1,-,Human
16774,APP,PTGER2,-,Human
16787,GNAI2,S1PR4,-,Human
16792,HLA-B,CANX,-,Human
16795,FADD,TRAF2,-,Human
16796,GSTP1,TRAF2,-,Human
16805,S100A9,CD68,-,Human
16806,S100A8,CD68,-,Human
16808,HLA-A,LILRA1,-,Human
16810,HLA-B,LILRA1,-,Human
16812,ADCYAP1,RAMP2,-,Human
16813,GHRH,RAMP2,-,Human
16814,CGA,RAMP2,-,Human
16815,GCG,RAMP2,-,Human
16816,TSHB,RAMP2,-,Human
16817,PTH2,RAMP2,-,Human
16818,AVP,RAMP2,-,Human
16819,VIP,RAMP2,-,Human
16820,PTH,RAMP2,-,Human
16821,PTHLH,RAMP2,-,Human
16822,NPS,RAMP2,-,Human
16823,FSHB,RAMP2,-,Human
16824,POMC,RAMP2,-,Human
16825,RLN2,RAMP2,-,Human
16826,RLN3,RAMP2,-,Human
16827,GIP,RAMP2,-,Human
16828,CRH,RAMP2,-,Human
16829,INSL3,RAMP2,-,Human
16830,VIP,RAMP1,-,Human
16834,VEGFC,LYVE1,-,Human
16835,PCSK9,SORT1,-,Human
16839,PSAP,SORT1,-,Human
16842,APP,NOTCH2,-,Human
16843,NGF,KIDINS220,-,Human
16853,FGF21,KLB,-,Human
16856,CALM1,MIP,-,Human
16859,CD14,RIPK1,-,Human
16860,CALR,HLA-F,-,Human
16861,B2M,HLA-F,-,Human
16863,CCN1,TLR2,-,Human
16864,HSP90B1,TLR2,-,Human
16866,SAA1,TLR2,-,Human
16868,ZG16B,TLR2,-,Human
16869,HRAS,TLR2,-,Human
16875,APP,SORL1,-,Human
16876,L1CAM,ITGAV,-,Human
16877,TNC,ITGAV,-,Human
16878,PLAU,ITGAV,-,Human
16880,COL4A6,ITGAV,-,Human
16881,COL4A5,ITGAV,-,Human
16882,SPP1,ITGAV,-,Human
16884,PDGFB,ITGAV,-,Human
16886,COL4A4,ITGAV,-,Human
16888,FGG,ITGAV,-,Human
16889,FGA,ITGAV,-,Human
16890,COL4A3,ITGAV,-,Human
16892,FGB,ITGAV,-,Human
16894,AZGP1,ITGAV,-,Human
16895,ADAM9,ITGAV,-,Human
16896,VEGFA,ITGAV,-,Human
16898,COL1A2,ITGAV,-,Human
16899,ANGPTL3,ITGAV,-,Human
16900,COL4A1,ITGAV,-,Human
16902,SOSTDC1,LRP6,-,Human
16905,PTH,LRP6,-,Human
16908,APP,LRP6,-,Human
16913,SAA1,SCARB1,-,Human
16917,COL1A2,FLT4,-,Human
16918,FN1,FLT4,-,Human
16919,LGALS3BP,CD33,-,Human
16923,CALR,ITGA2B,-,Human
16929,FN1,ITGA2B,-,Human
16930,CALM1,GLP2R,-,Human
16932,CALM2,TRPC5,-,Human
16933,CALM1,TRPC5,-,Human
16934,CALM3,TRPC5,-,Human
16935,CALM1,KCNN4,-,Human
16937,EGF,PLD2,-,Human
16939,HRAS,GRIN2D,-,Human
16941,HSPA1A,GRIN2D,-,Human
16943,PSEN1,NOTCH3,-,Human
16946,APP,APLP2,-,Human
16948,PCSK9,APLP2,-,Human
16954,CD99,CD81,-,Human
16959,VEGFA,TYRO3,-,Human
16963,ARPC5,LRP2,-,Human
16965,GC,LRP2,-,Human
16966,AVP,LRP2,-,Human
16968,APOA2,LRP2,-,Human
16969,AGRN,LRP2,-,Human
16970,GPC3,LRP2,-,Human
16971,TF,LRP2,-,Human
16974,APOA4,LRP2,-,Human
16975,EGF,LRP2,-,Human
16977,HSPA8,LRP2,-,Human
16979,APOC2,LRP2,-,Human
16980,HSPG2,LRP2,-,Human
16982,WNT5A,LRP2,-,Human
16984,ACTR2,LRP2,-,Human
16985,LEP,LRP2,-,Human
16989,CXCL8,KDR,-,Human
16991,TNFSF12,TNFRSF8,-,Human
16993,LAMA1,GPC1,-,Human
16994,TDGF1,GPC1,-,Human
16995,BMP2,GPC1,-,Human
16996,NRG1,GPC1,-,Human
16997,APP,GPC1,-,Human
16998,SERPINC1,GPC1,-,Human
17000,SHH,GPC1,-,Human
17004,TNC,ITGA9,-,Human
17005,VEGFC,ITGA9,-,Human
17008,SPP1,ITGA9,-,Human
17011,ADAM12,ITGA9,-,Human
17012,VCAM1,ITGA9,-,Human
17013,TGM2,ITGA9,-,Human
17014,VEGFA,ITGA9,-,Human
17015,CSF2,ITGA9,-,Human
17016,ADAM15,ITGA9,-,Human
17020,VIP,NPR3,-,Human
17022,AGT,ENPEP,-,Human
17026,CNTN2,NRP1,-,Human
17031,CALM2,CACNA1C,-,Human
17032,NCAM1,CACNA1C,-,Human
17034,CALM1,CACNA1C,-,Human
17035,CALM3,CACNA1C,-,Human
17036,WNT3A,LGR5,-,Human
17038,FN1,ITGB7,-,Human
17039,NRG3,ERBB3,-,Human
17041,L1CAM,ERBB3,-,Human
17046,GNAI2,IGF1R,-,Human
17047,CAMP,IGF1R,-,Human
17048,HSP90B1,ASGR1,-,Human
17049,HP,ASGR1,-,Human
17050,S100A4,ERBB2,-,Human
17051,NRG3,ERBB2,-,Human
17054,NRG4,ERBB2,-,Human
17055,HSP90B1,ERBB2,-,Human
17058,NRG2,ERBB2,-,Human
17062,MMP9,IFNAR1,-,Human
17068,CALM1,PTH2R,-,Human
17069,NRTN,GFRA3,-,Human
17070,GDNF,GFRA3,-,Human
17071,BCAN,EGFR,-,Human
17073,ZP3,EGFR,-,Human
17076,NRG4,EGFR,-,Human
17080,ARF4,EGFR,-,Human
17081,GNAI2,EGFR,-,Human
17082,ANG,EGFR,-,Human
17083,FGF13,EGFR,-,Human
17084,HSP90AA1,EGFR,-,Human
17085,CAMP,EGFR,-,Human
17087,CCN2,EGFR,-,Human
17088,LRIG2,EGFR,-,Human
17095,CALM1,HTR2C,-,Human
17104,PDYN,ADRA2A,-,Human
17106,AGT,ADRA2A,-,Human
17107,CXCL12,ADRA2A,-,Human
17108,CXCL3,ADRA2A,-,Human
17109,CCL5,ADRA2A,-,Human
17110,CXCL11,ADRA2A,-,Human
17111,NMS,ADRA2A,-,Human
17112,APLN,ADRA2A,-,Human
17113,SST,ADRA2A,-,Human
17114,INSL5,ADRA2A,-,Human
17115,NPY,ADRA2A,-,Human
17116,CCL25,ADRA2A,-,Human
17117,POMC,ADRA2A,-,Human
17118,SAA1,ADRA2A,-,Human
17119,CXCL8,ADRA2A,-,Human
17120,PYY,ADRA2A,-,Human
17121,CCL16,ADRA2A,-,Human
17122,CXCL2,ADRA2A,-,Human
17123,CXCL13,ADRA2A,-,Human
17124,CXCL10,ADRA2A,-,Human
17125,PPBP,ADRA2A,-,Human
17126,PMCH,ADRA2A,-,Human
17127,CXCL5,ADRA2A,-,Human
17128,CCL19,ADRA2A,-,Human
17129,PNOC,ADRA2A,-,Human
17130,APP,ADRA2A,-,Human
17131,CXCL1,ADRA2A,-,Human
17132,NPB,ADRA2A,-,Human
17133,PPY,ADRA2A,-,Human
17134,CXCL9,ADRA2A,-,Human
17135,CXCL16,ADRA2A,-,Human
17136,CCL20,ADRA2A,-,Human
17137,NPW,ADRA2A,-,Human
17138,PENK,ADRA2A,-,Human
17139,CCL28,ADRA2A,-,Human
17140,RLN3,ADRA2A,-,Human
17141,PF4,ADRA2A,-,Human
17142,CORT,ADRA2A,-,Human
17143,ANXA1,ADRA2A,-,Human
17146,PLG,FLT1,-,Human
17148,SORBS1,ITGA1,-,Human
17149,COL4A6,ITGA1,-,Human
17150,COL4A5,ITGA1,-,Human
17151,LAMA2,ITGA1,-,Human
17152,LAMA1,ITGA1,-,Human
17153,COL6A1,ITGA1,-,Human
17154,COL4A4,ITGA1,-,Human
17155,COL5A1,ITGA1,-,Human
17156,COL6A2,ITGA1,-,Human
17157,COL4A3,ITGA1,-,Human
17158,COL2A1,ITGA1,-,Human
17159,VEGFD,ITGA1,-,Human
17160,COL6A3,ITGA1,-,Human
17161,COL5A2,ITGA1,-,Human
17162,COL1A2,ITGA1,-,Human
17164,COL4A1,ITGA1,-,Human
17166,FBN1,ITGB6,-,Human
17167,FN1,ITGB6,-,Human
17168,SFTPD,LY96,-,Human
17169,BGN,LY96,-,Human
17171,GNAS,ADCY8,-,Human
17172,GNAI2,ADCY8,-,Human
17173,CALM1,ADCY8,-,Human
17174,CALM3,ADCY8,-,Human
17180,PIP,NPTN,-,Human
17182,DEFB103A,CCR2,-,Human
17184,S100A4,CCR5,-,Human
17185,IL16,CCR5,-,Human
17186,MDK,GPC2,-,Human
17190,FGF14,FGFR4,-,Human
17191,FGF11,FGFR4,-,Human
17194,FGF13,FGFR4,-,Human
17195,FGF12,FGFR4,-,Human
17200,PLAU,ITGA5,-,Human
17201,SPP1,ITGA5,-,Human
17203,FGG,ITGA5,-,Human
17204,FGA,ITGA5,-,Human
17205,VEGFD,ITGA5,-,Human
17206,CCN2,ITGA5,-,Human
17207,FGB,ITGA5,-,Human
17211,ADAM15,ITGA5,-,Human
17212,ADAM17,ITGA5,-,Human
17214,FN1,ITGA5,-,Human
17215,GNAS,ADCY9,-,Human
17216,GNAI2,ADCY9,-,Human
17221,PROS1,MERTK,-,Human
17227,FN1,IL17RC,-,Human
17229,PLAU,ITGB5,-,Human
17230,EDIL3,ITGB5,-,Human
17231,SORBS1,ITGB5,-,Human
17232,SPP1,ITGB5,-,Human
17233,COL4A2,ITGB5,-,Human
17235,ADAM9,ITGB5,-,Human
17236,COL18A1,ITGB5,-,Human
17239,COL4A6,ITGA2,-,Human
17240,COL4A5,ITGA2,-,Human
17241,LAMA2,ITGA2,-,Human
17242,LAMA1,ITGA2,-,Human
17243,LAMC3,ITGA2,-,Human
17244,COL6A1,ITGA2,-,Human
17245,COL4A4,ITGA2,-,Human
17246,COL11A1,ITGA2,-,Human
17247,COL6A2,ITGA2,-,Human
17248,COL4A3,ITGA2,-,Human
17249,COL2A1,ITGA2,-,Human
17250,VEGFD,ITGA2,-,Human
17253,LAMB3,ITGA2,-,Human
17254,CHAD,ITGA2,-,Human
17255,COL1A2,ITGA2,-,Human
17256,COL4A1,ITGA2,-,Human
17258,COL7A1,ITGA2,-,Human
17259,COL3A1,ITGA2,-,Human
17264,RIMS1,SLC18A2,-,Human
17265,CXCL12,AVPR1A,-,Human
17272,B2M,CD3D,-,Human
17273,HLA-A,CD3D,-,Human
17274,HLA-C,CD3D,-,Human
17275,HLA-B,CD3D,-,Human
17277,PDYN,MTNR1A,-,Human
17278,AGT,MTNR1A,-,Human
17279,CXCL12,MTNR1A,-,Human
17280,CCL5,MTNR1A,-,Human
17281,CXCL11,MTNR1A,-,Human
17282,NMS,MTNR1A,-,Human
17283,APLN,MTNR1A,-,Human
17284,NPY,MTNR1A,-,Human
17285,CCL25,MTNR1A,-,Human
17286,POMC,MTNR1A,-,Human
17287,SAA1,MTNR1A,-,Human
17289,CXCL8,MTNR1A,-,Human
17290,PYY,MTNR1A,-,Human
17291,CCL16,MTNR1A,-,Human
17292,CXCL2,MTNR1A,-,Human
17293,CXCL10,MTNR1A,-,Human
17294,PMCH,MTNR1A,-,Human
17295,CCL19,MTNR1A,-,Human
17296,CXCL1,MTNR1A,-,Human
17297,NPB,MTNR1A,-,Human
17298,PPY,MTNR1A,-,Human
17299,CXCL9,MTNR1A,-,Human
17300,CCL20,MTNR1A,-,Human
17301,NPW,MTNR1A,-,Human
17302,PENK,MTNR1A,-,Human
17303,CCL28,MTNR1A,-,Human
17304,RLN3,MTNR1A,-,Human
17305,CORT,MTNR1A,-,Human
17306,ANXA1,MTNR1A,-,Human
17313,GIP,INSR,-,Human
17315,FN1,ROBO4,-,Human
17317,GHRH,ADRB2,-,Human
17318,AVP,ADRB2,-,Human
17319,PTHLH,ADRB2,-,Human
17320,TF,ADRB2,-,Human
17321,POMC,ADRB2,-,Human
17322,RLN2,ADRB2,-,Human
17323,HSPA8,ADRB2,-,Human
17324,ADCYAP1,ADRB2,-,Human
17325,CALCA,ADRB2,-,Human
17326,ADM,ADRB2,-,Human
17327,CGA,ADRB2,-,Human
17328,GCG,ADRB2,-,Human
17329,VIP,ADRB2,-,Human
17330,ADM2,ADRB2,-,Human
17331,NPS,ADRB2,-,Human
17332,FSHB,ADRB2,-,Human
17333,CALCB,ADRB2,-,Human
17334,ACTR2,ADRB2,-,Human
17335,RLN3,ADRB2,-,Human
17336,GIP,ADRB2,-,Human
17337,INSL3,ADRB2,-,Human
17338,GNAI2,S1PR1,-,Human
17339,PDGFB,S1PR1,-,Human
17341,S100A9,ALCAM,-,Human
17342,CALM1,GRM5,-,Human
17345,LAMA1,SDC2,-,Human
17347,HRAS,SDC2,-,Human
17351,PLAU,MRC2,-,Human
17355,CALM1,GP6,-,Human
17360,CALM1,AQP1,-,Human
17364,B2M,LILRB1,-,Human
17366,SEMA4D,MET,-,Human
17367,SEMA5A,MET,-,Human
17370,CD55,ADGRE2,-,Human
17373,GHRH,PTH1R,-,Human
17374,AVP,PTH1R,-,Human
17375,POMC,PTH1R,-,Human
17376,RLN2,PTH1R,-,Human
17377,ADCYAP1,PTH1R,-,Human
17378,CALCA,PTH1R,-,Human
17379,ADM,PTH1R,-,Human
17380,CGA,PTH1R,-,Human
17381,GCG,PTH1R,-,Human
17382,VIP,PTH1R,-,Human
17383,ADM2,PTH1R,-,Human
17384,NPS,PTH1R,-,Human
17385,FSHB,PTH1R,-,Human
17386,CALCB,PTH1R,-,Human
17387,RLN3,PTH1R,-,Human
17388,GIP,PTH1R,-,Human
17389,INSL3,PTH1R,-,Human
17393,AVP,VIPR1,-,Human
17394,PTHLH,VIPR1,-,Human
17395,POMC,VIPR1,-,Human
17396,RLN2,VIPR1,-,Human
17397,CALCA,VIPR1,-,Human
17398,ADM,VIPR1,-,Human
17399,CGA,VIPR1,-,Human
17400,GCG,VIPR1,-,Human
17401,ADM2,VIPR1,-,Human
17403,NPS,VIPR1,-,Human
17404,FSHB,VIPR1,-,Human
17406,CALM1,VIPR1,-,Human
17407,CALCB,VIPR1,-,Human
17408,RLN3,VIPR1,-,Human
17409,GIP,VIPR1,-,Human
17410,INSL3,VIPR1,-,Human
17412,CALM1,CNGA2,-,Human
17417,DKK3,KREMEN1,-,Human
17432,IL6,F3,-,Human
17434,PTN,PTPRB,-,Human
17435,B2M,KIR2DL1,-,Human
17436,HLA-A,KIR2DL1,-,Human
17437,BMP5,HJV,-,Human
17438,RGMA,HJV,-,Human
17442,CCN1,CAV1,-,Human
17443,PTGS2,CAV1,-,Human
17449,FGF14,FGFR3,-,Human
17452,FGF12,FGFR3,-,Human
17455,LAMB3,COL17A1,-,Human
17459,TNF,TRADD,-,Human
17460,B2M,KIR2DL3,-,Human
17461,HLA-A,KIR2DL3,-,Human
17463,HLA-B,KIR2DL3,-,Human
17466,GHRH,ADRB3,-,Human
17467,AVP,ADRB3,-,Human
17468,PTHLH,ADRB3,-,Human
17469,POMC,ADRB3,-,Human
17470,RLN2,ADRB3,-,Human
17471,ADCYAP1,ADRB3,-,Human
17472,ADM,ADRB3,-,Human
17473,CGA,ADRB3,-,Human
17474,GCG,ADRB3,-,Human
17475,VIP,ADRB3,-,Human
17476,ADM2,ADRB3,-,Human
17477,NPS,ADRB3,-,Human
17478,FSHB,ADRB3,-,Human
17479,CALCB,ADRB3,-,Human
17480,RLN3,ADRB3,-,Human
17481,GIP,ADRB3,-,Human
17482,INSL3,ADRB3,-,Human
17487,CALM1,KCNQ5,-,Human
17492,HP,ASGR2,-,Human
17499,VEGFA,RET,-,Human
17501,CALM1,FAS,-,Human
17503,ICAM2,ITGAL,-,Human
17507,CCL5,CCRL2,-,Human
17508,PDYN,GRM7,-,Human
17509,AGT,GRM7,-,Human
17510,CXCL12,GRM7,-,Human
17511,CCL5,GRM7,-,Human
17512,NMS,GRM7,-,Human
17513,APLN,GRM7,-,Human
17514,NPY,GRM7,-,Human
17515,CCL25,GRM7,-,Human
17516,POMC,GRM7,-,Human
17517,SAA1,GRM7,-,Human
17518,PYY,GRM7,-,Human
17519,CCL16,GRM7,-,Human
17520,CXCL2,GRM7,-,Human
17521,CXCL1,GRM7,-,Human
17522,PPY,GRM7,-,Human
17523,CXCL9,GRM7,-,Human
17524,CCL20,GRM7,-,Human
17525,CCL28,GRM7,-,Human
17526,RLN3,GRM7,-,Human
17527,CORT,GRM7,-,Human
17528,ANXA1,GRM7,-,Human
17530,GSTO1,RYR1,-,Human
17533,B2M,TFRC,-,Human
17542,ADA,DPP4,-,Human
17543,MMP9,TLR9,-,Human
17546,B2M,CD247,-,Human
17547,COL4A6,CD47,-,Human
17549,COL4A4,CD47,-,Human
17551,COL4A1,CD47,-,Human
17556,GNAS,ADORA1,-,Human
17565,COL2A1,ITGA10,-,Human
17569,EDN1,ADGRL4,-,Human
17573,LTB,CD40,-,Human
17574,ANGPTL2,TIE1,-,Human
17575,NTF4,BEX3,-,Human
17576,BDNF,BEX3,-,Human
17580,LAMA1,SDC4,-,Human
17585,CCN1,TLR4,-,Human
17586,HSPA1A,TLR4,-,Human
17588,RIMS1,SLC18A3,-,Human
17592,RGMA,BMPR2,-,Human
17594,PSAP,AR,-,Human
17596,HLA-C,NOTCH4,-,Human
17597,GDNF,EDNRB,-,Human
17598,ADCYAP1,GPR20,-,Human
17599,ADM,GPR20,-,Human
17600,POMC,GPR20,-,Human
17601,CGA,GPR20,-,Human
17602,GCG,GPR20,-,Human
17603,RLN2,GPR20,-,Human
17604,CALCB,GPR20,-,Human
17605,AVP,GPR20,-,Human
17606,RLN3,GPR20,-,Human
17607,ADM2,GPR20,-,Human
17608,PTHLH,GPR20,-,Human
17609,NPS,GPR20,-,Human
17610,FSHB,GPR20,-,Human
17611,INSL3,GPR20,-,Human
17615,TNFSF11,LGR4,-,Human
17618,SPTBN2,PTPRA,-,Human
17619,NCAM1,PTPRA,-,Human
17620,IRAK4,TLR7,-,Human
17625,B2M,KLRC2,-,Human
17627,B2M,KLRD1,-,Human
17630,APOC1,VLDLR,-,Human
17631,APOC4,VLDLR,-,Human
17632,ALKAL2,ALK,-,Human
17633,HLA-G,KIR3DL1,-,Human
17634,B2M,KIR3DL1,-,Human
17636,B2M,LILRB2,-,Human
17643,VEGFC,ITGB1,-,Human
17644,LAMA2,ITGB1,-,Human
17645,LAMB2,ITGB1,-,Human
17647,DSPP,ITGB1,-,Human
17648,MDK,ITGB1,-,Human
17649,COL4A4,ITGB1,-,Human
17650,COL4A3,ITGB1,-,Human
17651,ADAM9,ITGB1,-,Human
17652,CHAD,ITGB1,-,Human
17654,VEGFA,ITGB1,-,Human
17655,MDK,ITGA4,-,Human
17658,SPON2,ITGB2,-,Human
17659,ICAM2,ITGB2,-,Human
17660,TNF,TRPM2,-,Human
17661,FGF1,FGFRL1,-,Human
17662,VEGFA,SIRPA,-,Human
17665,LAMA2,ITGA6,-,Human
17666,ADAM9,ITGA6,-,Human
17667,SLIT2,DCC,-,Human
17668,IRAK4,TLR6,-,Human
17672,FGF12,FGFR1,-,Human
17673,PRG4,CD44,-,Human
17675,VIM,CD44,-,Human
